title,cuisines,reviews,star rating,restaurant serial number,cuisines_melt,cuisines_all
Zum Weissen Rauchfangkehrer - The White Chimneysweep,"Austrian, European",1882,4.0,104,cuisine_1,Austrian
Mel's Diner,"Bars & Pubs, American",427,4.5,105,cuisine_1,Bars & Pubs
Pho Saigon,"Asian, Vietnamese",588,4.5,106,cuisine_1,Asian
Le Burger,"American, Fast Food",1337,4.5,107,cuisine_1,American
The Guesthouse Brasserie & Bakery,"Austrian, Cafe",430,4.5,108,cuisine_1,Austrian
Vollpension in der Schleifmühlgasse,"Coffee & Tea, Austrian",1026,4.5,109,cuisine_1,Coffee & Tea
Zum Mährischen Spatzen,"Austrian, European",304,4.5,110,cuisine_1,Austrian
Hungry Guy,"International, European",763,4.0,111,cuisine_1,International
Zanoni & Zanoni,"Dessert, Italian",2078,4.5,112,cuisine_1,Dessert
Zum Hagenthaler,"German, Austrian",423,4.0,113,cuisine_1,German
Restaurant Grune Bar,"Austrian, International",339,4.5,114,cuisine_1,Austrian
Bangkok-Vienna,"Asian, Thai",598,4.5,115,cuisine_1,Asian
Mariahilferbrau,"Austrian, Brew Pub",696,4.0,116,cuisine_1,Austrian
MOMO Pizza Gourmet,"Italian, Pizza",329,4.5,117,cuisine_1,Italian
I Ragazzi,"Italian, Pizza",580,4.0,118,cuisine_1,Italian
Aera Restaurant,"Austrian, European",230,4.5,119,cuisine_1,Austrian
Dstrikt Steakhouse,"Steakhouse, Austrian",1324,4.5,120,cuisine_1,Steakhouse
Nihonbashi,"Japanese, Sushi",468,4.5,121,cuisine_1,Japanese
Café Imperial Wien,"Austrian, Cafe",752,4.5,122,cuisine_1,Austrian
Momoya,"Japanese, Sushi",518,4.5,123,cuisine_1,Japanese
Cafe Goldegg,"Coffee & Tea, German",411,4.5,124,cuisine_1,Coffee & Tea
TIAN Bistro,"European, Healthy",493,4.5,125,cuisine_1,European
Joyce,"Austrian, International",58,5.0,126,cuisine_1,Austrian
Ludwig van,"Austrian, Central European",136,4.5,127,cuisine_1,Austrian
PAREMI Boulangerie - Pâtisserie,"Coffee & Tea, French",171,4.5,128,cuisine_1,Coffee & Tea
Kurkonditorei OBERLAA,"Dessert, Austrian",393,4.5,129,cuisine_1,Dessert
Santos Wieden I Mexican Grill & Bar,"Mexican, Bar",541,4.5,130,cuisine_1,Mexican
Restaurant Stöger,"Austrian, International",241,4.5,131,cuisine_1,Austrian
Griechenbeisl,"Austrian, European",2925,4.0,132,cuisine_1,Austrian
Specht Restaurant,"Austrian, European",69,5.0,133,cuisine_1,Austrian
Amador,European,124,4.5,134,cuisine_1,European
MAST Weinbistro,"European, Deli",161,4.5,135,cuisine_1,European
Marienhof,"German, Austrian",702,4.0,136,cuisine_1,German
Colono | Gourmet Shop & Tapas Bar,"Mediterranean, Spanish",131,5.0,137,cuisine_1,Mediterranean
Gasthaus Rebhuhn,"Austrian, Contemporary",499,4.0,138,cuisine_1,Austrian
Balthasar Kaffee Bar,"Coffee & Tea, Cafe",193,4.5,139,cuisine_1,Coffee & Tea
DaRose,"Steakhouse, Seafood",71,5.0,140,cuisine_1,Steakhouse
Pizzeria Scarabocchio,"Italian, Pizza",610,4.5,141,cuisine_1,Italian
Rinderwahn,"American, Bar",550,4.0,142,cuisine_1,American
ULRICH,"Cafe, Healthy",1241,4.0,143,cuisine_1,Cafe
Ristorante Sole,"Italian, Tuscan",749,4.0,144,cuisine_1,Italian
Beaulieu,"French, European",447,4.5,145,cuisine_1,French
el Gaucho im Design Tower,"Steakhouse, International",722,4.0,146,cuisine_1,Steakhouse
Gasthaus Woracziczky,"Austrian, European",319,4.5,147,cuisine_1,Austrian
Gasthaus Poschl,Austrian,1179,4.0,148,cuisine_1,Austrian
Labstelle,"Austrian, European",660,4.0,149,cuisine_1,Austrian
Twenty Two Restaurant,"Austrian, International",219,4.5,150,cuisine_1,Austrian
Gasthaus Reinthaler,"German, Austrian",854,4.0,151,cuisine_1,German
Cantinetta Antinori,Italian,1022,4.0,152,cuisine_1,Italian
Julius Meinl Am Graben,"Austrian, International",875,4.0,153,cuisine_1,Austrian
Wirtshaus Am Wasserpark,"Austrian, European",156,4.5,154,cuisine_1,Austrian
Gastwirtschaft Heidenkummer,"Austrian, European",165,4.5,155,cuisine_1,Austrian
Das Eduard,"Austrian, Bar",193,4.5,156,cuisine_1,Austrian
Patara Restaurant,"Asian, Thai",788,4.0,157,cuisine_1,Asian
Hemmers Restaurant,"Austrian, Central European",154,4.5,158,cuisine_1,Austrian
Via Toledo Enopizzeria,"Italian, Pizza",727,4.5,159,cuisine_1,Italian
Gmoakeller,"Austrian, European",1349,4.0,160,cuisine_1,Austrian
RESTAURANT zur WILDen SCHIMANSZKY,Austrian,166,4.5,161,cuisine_1,Austrian
1516 Brewing Company,"German, Austrian",2014,4.0,162,cuisine_1,German
Restaurant Ofenloch,"German, Austrian",1324,4.5,163,cuisine_1,German
Garbanzo - Falafel & Hummus Bar,"Quick Bites, Mediterranean",49,5.0,164,cuisine_1,Quick Bites
Wienerin,"German, Austrian",396,4.0,165,cuisine_1,German
Pizzeria Pozzuoli,"Italian, Pizza",346,4.5,166,cuisine_1,Italian
Fenster Café,"Coffee & Tea, Cafe",190,4.5,167,cuisine_1,Coffee & Tea
Figls,"Austrian, European",433,4.5,168,cuisine_1,Austrian
Bier & Bierli,"German, Austrian",1522,4.5,169,cuisine_1,German
Gerstner K.u.k. Hofzuckerbäcker - Palais Todesco,"Austrian, Cafe",1293,4.5,170,cuisine_1,Austrian
Restaurant Fromme Helene,"German, Austrian",1376,4.0,171,cuisine_1,German
Pürstner,Austrian,3815,4.5,172,cuisine_1,Austrian
Phil,"Coffee & Tea, Austrian",364,4.5,173,cuisine_1,Coffee & Tea
IKI,"Japanese, Sushi",182,4.5,174,cuisine_1,Japanese
Hard Rock Cafe,"American, Bar",1366,4.0,175,cuisine_1,American
Schnitzelwirt,"German, Austrian",2102,4.0,176,cuisine_1,German
Vietthao,"Asian, Vietnamese",308,4.5,177,cuisine_1,Asian
Brezl Gwolb,Austrian,577,4.0,178,cuisine_1,Austrian
Gasthaus Zur Eisernen Zeit,"German, Austrian",468,4.0,179,cuisine_1,German
Reinthaler's Beisl,"German, Austrian",1842,4.0,180,cuisine_1,German
Deval,"European, Contemporary",74,5.0,181,cuisine_1,European
"Gelateria La Romana - Wien, Stiftgasse","Dessert, Italian",312,4.5,182,cuisine_1,Dessert
L. Heiner K.u.K. Hofzuckerbäcker,"Coffee & Tea, Austrian",913,4.5,183,cuisine_1,Coffee & Tea
The View Restaurant Cafe Bar,"Austrian, European",375,4.0,184,cuisine_1,Austrian
La Stella Wien,"Italian, Cafe",133,4.5,185,cuisine_1,Italian
Tawa Indian Restaurant,"Indian, Asian",212,4.5,186,cuisine_1,Indian
GRND Restaurant,"European, Ukrainian",211,4.5,187,cuisine_1,European
Som Kitchen Eatery - Twin Towers,"Asian, Thai",89,4.5,188,cuisine_1,Asian
Haas Beisl,"Austrian, European",230,4.5,189,cuisine_1,Austrian
Restaurant Salzamt,"German, Austrian",638,4.0,190,cuisine_1,German
Steman,"Austrian, European",349,4.5,191,cuisine_1,Austrian
Restaurant Kosu,"Japanese, Sushi",223,4.5,192,cuisine_1,Japanese
